number, title, author, pages
1, "The Alchemist", "Paolo Coelho", 213
2, "All The Light We Cannot See", "Anthony Doerr", 545
3, "The Atlantis Gene", "A.G. Riddle", 489
4, "Cinder", "Marissa Meyer", 400
5, "Ender's Game", "Orson Scott Card", 251
6, "Fifty Shades of Grey", "E.L. James", 530
7, "The Girl on the Train", "Paula Hawkins", 326
8, "Gone Girl", "Gillian Flynn", 578
9, "The Hitchhiker's Guide to the Galaxy", "Douglas Adams", 204
10, "The Hobbit", "J.R.R Tolkien", 322
11, "The Kite Runner", "Khaled Hosseini", 402
12, "No Ordinary Billionaire", "J.S. Scott", 242
13, "Outlander", "Diana Gabaldon", 560
14, "Wicked: Life and Times of the Wicked Witch of the West", "Gregory Maguire", 406
