"Title","Ratings","Rank","Days on list","Author","Reviews","Pre-Order Release Date","Price($)"
"The Girl on the Train: A Novel","17,213","1","132","Paula Hawkins","4.1","","6.99"
"Crow Hollow","138","2","14","Michael Wallace","4.4","June 1, 2015","4.99"
"Knocked Up by the Bad Boy","129","3","12","Vanessa Waltz","4.4","","0.99"
"Queen of the Trailer Park (Rosie Mald...","163","4","14","Alice Quinn","3.5","June 1, 2015","4.99"
"14th Deadly Sin (Women's Murder Club)","227","5","49","James Patterson","4.1","","9.99"
"Pines (The Wayward Pines Trilogy, Boo...","4,230","6","280","Blake Crouch","4.1","","1.99"
"Sugar","176","7","14","Deirdre Riordan Hall","4.6","June 1, 2015","4.99"
"Memory Man (Amos Decker series)","1,458","8","98","David Baldacci","4.5","","9.99"
"(R)evolution (Phoenix Horizon Book 1)","78","9","14","PJ Manney","4.2","June 1, 2015","4.99"
"Trail of Broken Wings","865","10","44","Sejal Badani","4.5","","4.99"
"Stepbrother Charming: A Billionaire B...","153","11","10","Nicole Snow","4.4","","0.99"
"All the Light We Cannot See: A Novel","12,023","12","369","Anthony Doerr","4.6","","12.99"
"Gathering Prey (The Prey Series Book 25)","680","13","43","John Sandford","4.6","","10.99"
"The Hurricane Sisters: A Novel","985","14","20","Dorothea Benton Frank","4.1","","1.99"
"The Nightingale","5,003","15","103","Kristin Hannah","4.8","","8.99"
"Agent Zigzag: A True Story of Nazi Es...","318","16","15","Ben Macintyre","4.5","","1.99"
"End of Days (Penryn & the End of Days...","60","17","3","Susan Ee","4.5","","4.99"
"Sacrificed to the Dragon: Boxed Set (...","179","18","1","Jessie Donovan","4.5","","0.99"
"The Liar","1,269","19","50","Nora Roberts","4.4","","12.31"
"PUCKED","228","20","12","Helena Hunting","4.6","","3.99"
"Better Date than Never Boxed Set (Boo...","74","21","9","Susan Hatler","4.4","","0.99"
"The Wright Brothers","61","22","12","David McCullough","4.6","","14.99"
"The Amazing World of Rice","4","23","1","Marie Simmons","4.5","","0.99"
"The Wilde Sisters Trilogy","2","24","3","Sandra Marton","4.5","","0.99"
"The Tornado","86","25","8","Missy Blue","4.6","","2.99"
"Shadow of a Doubt (Tangled Ivy Book 2)","19","26","3","Tiffany Snow","4.9","","4.99"
"Silent Scream: An edge of your seat s...","858","27","77","Angela Marsons","4.4","","0.99"
"Sincerely, Carter","244","28","15","Whitney Gracia Williams","4.7","","3.99"
"Under the Influence","51","29","3","L.B. Simmons","4.8","","0.99"
"No Ordinary Billionaire (The Sinclair...","595","30","45","J. S. Scott","4","","3.99"
"Boundary Crossed (Boundary Magic Book 1)","876","31","44","Melissa F. Olson","4.4","","4.99"
"Admiral Who? (A Spineward Sectors Nov...","146","32","1","Luke Sky Wachter","4.2","","0.99"
"Outlander: A Novel (Outlander, Book 1)","12,483","33","493","Diana Gabaldon","4.6","","1.99"
