Title,Ratings,Rank,Time on list,Author,Reviews,PreOrders?,Price
The Girl on the Train: A Novel,"17,213",1,132 days in the top 100,by Paula Hawkins,4.1; 5,,6.99
Crow Hollow,138,2,14 days in the top 100,by Michael Wallace,4.4; 5,"Release Date: June 1, 2015",4.99
Knocked Up by the Bad Boy,129,3,12 days in the top 100,by Vanessa Waltz,4.4; 5,,0.99
Queen of the Trailer Park (Rosie Mald...,163,4,14 days in the top 100,by Alice Quinn,3.5; 5,"Release Date: June 1, 2015",4.99
14th Deadly Sin (Women's Murder Club),227,5,49 days in the top 100,by James Patterson,4.1; 5,,9.99
"Pines (The Wayward Pines Trilogy, Boo...","4,230",6,280 days in the top 100,by Blake Crouch,4.1; 5,,1.99
Sugar,176,7,14 days in the top 100,by Deirdre Riordan Hall,4.6; 5,"Release Date: June 1, 2015",4.99
Memory Man (Amos Decker series),"1,458",8,98 days in the top 100,by David Baldacci,4.5; 5,,9.99
(R)evolution (Phoenix Horizon Book 1),78,9,14 days in the top 100,by PJ Manney,4.2; 5,"Release Date: June 1, 2015",4.99
Trail of Broken Wings,865,10,44 days in the top 100,by Sejal Badani,4.5; 5,,4.99
Stepbrother Charming: A Billionaire B...,153,11,10 days in the top 100,by Nicole Snow,4.4; 5,,0.99
All the Light We Cannot See: A Novel,"12,023",12,369 days in the top 100,by Anthony Doerr,4.6; 5,,12.99
Gathering Prey (The Prey Series Book 25),680,13,43 days in the top 100,by John Sandford,4.6; 5,,10.99
The Hurricane Sisters: A Novel,985,14,20 days in the top 100,by Dorothea Benton Frank,4.1; 5,,1.99
The Nightingale,"5,003",15,103 days in the top 100,by Kristin Hannah,4.8; 5,,8.99
Agent Zigzag: A True Story of Nazi Es...,318,16,15 days in the top 100,by Ben Macintyre,4.5; 5,,1.99
End of Days (Penryn & the End of Days...,60,17,3 days in the top 100,by Susan Ee,4.5; 5,,4.99
Sacrificed to the Dragon: Boxed Set (...,179,18,1 day in the top 100,by Jessie Donovan,4.5; 5,,0.99
The Liar,"1,269",19,50 days in the top 100,by Nora Roberts,4.4; 5,,12.31
PUCKED,228,20,12 days in the top 100,by Helena Hunting,4.6; 5,,3.99
Better Date than Never Boxed Set (Boo...,74,21,9 days in the top 100,by Susan Hatler,4.4; 5,,0.99
The Wright Brothers,61,22,12 days in the top 100,by David McCullough,4.6; 5,,14.99
The Amazing World of Rice,4,23,1 day in the top 100,by Marie Simmons,4.5; 5,,0.99
The Wilde Sisters Trilogy,2,24,3 days in the top 100,by Sandra Marton,4.5; 5,,0.99
The Tornado,86,25,8 days in the top 100,by Missy Blue,4.6; 5,,2.99
Shadow of a Doubt (Tangled Ivy Book 2),19,26,3 days in the top 100,by Tiffany Snow,4.9; 5,,4.99
Silent Scream: An edge of your seat s...,858,27,77 days in the top 100,by Angela Marsons,4.4; 5,,0.99
"Sincerely, Carter",244,28,15 days in the top 100,by Whitney Gracia Williams,4.7; 5,,3.99
Under the Influence,51,29,3 days in the top 100,by L.B. Simmons,4.8; 5,,0.99
No Ordinary Billionaire (The Sinclair...,595,30,45 days in the top 100,by J. S. Scott,4; 5,,3.99
Boundary Crossed (Boundary Magic Book 1),876,31,44 days in the top 100,by Melissa F. Olson,4.4; 5,,4.99
Admiral Who? (A Spineward Sectors Nov...,146,32,1 day in the top 100,by Luke Sky Wachter,4.2; 5,,0.99
"Outlander: A Novel (Outlander, Book 1)","12,483",33,493 days in the top 100,by Diana Gabaldon,4.6; 5,,1.99
Driftwood: A Novel,17,34,1 day in the top 100,by Elizabeth Dutton,4.6; 5,,1.99
Master No (Masters and Mercenaries Bo...,,35,2 days in the top 100,by Lexi Blake,,,4.99
The Stranger,"1,902",36,65 days in the top 100,by Harlan Coben,4.1; 5,,8.97
The One That Got Away,"3,185",37,103 days in the top 100,by Simon Wood,4.2; 5,,4.99
They Marched Into Sunlight: War and P...,95,38,2 days in the top 100,by David Maraniss,4.4; 5,,1.99
The Rich Are Different,67,39,1 day in the top 100,by Susan Howatch,4.5; 5,,1.99
Bear My Soul (Fire Bears Book 1),60,40,7 days in the top 100,by T. S. Joyce,4.7; 5,,0.99
NEVER IS A PROMISE (Never Say Never B...,59,41,11 days in the top 100,by Winter Renshaw,4.5; 5,,0.99
Wreckage,"3,949",42,103 days in the top 100,by Emily Bleeker,4.1; 5,,4.99
The A.D.D Entrepreneur: How To Harnes...,8,43,3 days in the top 100,by Matt Curry,5; 5,,0.99
Leah (Carter Book 2),90,44,12 days in the top 100,by R.J. Lewis,4.4; 5,,1.99
"Having Faith: Callaghan Brothers, Book 7",119,45,16 days in the top 100,by Abbie Zanders,4.7; 5,,2.99
This Thing Called Love (A Mirror Lake...,387,46,44 days in the top 100,by Miranda Liasson,3.9; 5,,4.99
The Crown of Ptolemy (Heroes of Olymp...,31,47,3 days in the top 100,by Rick Riordan,4.7; 5,,1.99
The Atlantis Gene: A Thriller (The Or...,"9,714",48,578 days in the top 100,by A.G. Riddle,4.2; 5,,3.99
The Boys in the Boat: Nine Americans...,"11,262",49,316 days in the top 100,by Daniel James Brown,4.8; 5,,2.99
Twisted,353,50,37 days in the top 100,by Andrew E. Kaufman,4.1; 5,,4.99
