title.href,title.text
"http://www.amazon.com/Best-Sellers-Kindle-Store-eBooks/zgbs/digital-text/154606011/






http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE/ref=zg_bs_154606011_1/192-3465644-1278505
",The Girl on the Train: A Novel
"http://www.amazon.com/Best-Sellers-Kindle-Store-eBooks/zgbs/digital-text/154606011/






http://www.amazon.com/Crow-Hollow-Michael-Wallace-ebook/dp/B00O4FK8D6/ref=zg_bs_154606011_2/192-3465644-1278505
",Crow Hollow
"http://www.amazon.com/Best-Sellers-Kindle-Store-eBooks/zgbs/digital-text/154606011/






http://www.amazon.com/Knocked-Bad-Boy-Vanessa-Waltz-ebook/dp/B00X1AQ5ZA/ref=zg_bs_154606011_3/192-3465644-1278505
",Knocked Up by the Bad Boy
"http://www.amazon.com/Best-Sellers-Kindle-Store-eBooks/zgbs/digital-text/154606011/






http://www.amazon.com/Queen-Trailer-Rosie-Maldonnes-World-ebook/dp/B00Q74VXMC/ref=zg_bs_154606011_4/192-3465644-1278505
",Queen of the Trailer Park (Rosie Mald...
"http://www.amazon.com/Best-Sellers-Kindle-Store-eBooks/zgbs/digital-text/154606011/






http://www.amazon.com/14th-Deadly-Womens-Murder-Club-ebook/dp/B00RTY0VSG/ref=zg_bs_154606011_5/192-3465644-1278505
",14th Deadly Sin (Women's Murder Club)
"http://www.amazon.com/Best-Sellers-Kindle-Store-eBooks/zgbs/digital-text/154606011/






http://www.amazon.com/Pines-The-Wayward-Trilogy-Book-ebook/dp/B007FG9LIE/ref=zg_bs_154606011_6/192-3465644-1278505
","Pines (The Wayward Pines Trilogy, Boo..."
"http://www.amazon.com/Best-Sellers-Kindle-Store-eBooks/zgbs/digital-text/154606011/






http://www.amazon.com/Sugar-Deirdre-Riordan-Hall-ebook/dp/B00PG8UCH2/ref=zg_bs_154606011_7/192-3465644-1278505
",Sugar
"http://www.amazon.com/Best-Sellers-Kindle-Store-eBooks/zgbs/digital-text/154606011/






http://www.amazon.com/Memory-Amos-Decker-David-Baldacci-ebook/dp/B00N7TDP8K/ref=zg_bs_154606011_8/192-3465644-1278505
",Memory Man (Amos Decker series)
"http://www.amazon.com/Best-Sellers-Kindle-Store-eBooks/zgbs/digital-text/154606011/






http://www.amazon.com/evolution-Phoenix-Horizon-Book-ebook/dp/B00OM9OKEC/ref=zg_bs_154606011_9/192-3465644-1278505
",(R)evolution (Phoenix Horizon Book 1)
"http://www.amazon.com/Best-Sellers-Kindle-Store-eBooks/zgbs/digital-text/154606011/






http://www.amazon.com/Trail-Broken-Wings-Sejal-Badani-ebook/dp/B00N58XLLE/ref=zg_bs_154606011_10/192-3465644-1278505
",Trail of Broken Wings
